,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,cluster,States
112,0.25,0.0,0.7167,0.4400921658986175,0.00983718588145022,0.33553262071507556,0.20775658097774527,0.46545000000000003,0.0,0.2942,0,AZ
113,0.75,0.5,0.9888,0.4078341013824885,0.0020082006522156148,0.3215259859933653,0.20775658097774527,0.46545000000000003,0.7946,0.5982,2,AZ
114,0.25,0.0,0.7167,0.4400921658986175,0.06134903126798388,0.2956874308883155,0.20775658097774527,0.46545000000000003,0.2878,0.4733,0,AZ
115,0.25,1.0,0.7167,0.4400921658986175,0.0005215327066948014,0.3215259859933653,0.17414015796632643,0.46545000000000003,0.8079,0.5497,1,AZ
116,0.75,1.0,0.7167,0.4400921658986175,0.018247650105505466,0.3215259859933653,0.21507195354738418,0.1568,0.6171,0.5242,1,AZ
117,0.25,0.0,0.7167,0.4400921658986175,0.1594571264147324,0.09915223000368596,0.20775658097774527,0.46545000000000003,0.1599,0.3268,0,AZ
118,0.25,1.0,0.7167,0.4400921658986175,0.010346729330519853,0.3215259859933653,0.19304582395098702,0.6189,0.6147,0.4898,4,AZ
119,0.25,1.0,0.7167,0.4400921658986175,0.00557500479570305,0.3215259859933653,0.17314572450764112,0.46545000000000003,0.7193,0.6183,1,NM
120,0.75,0.5,0.7293,0.4930875576036866,0.0032370995587953193,0.3215259859933653,0.2668853658257798,0.3768,0.6478,0.4547,2,AZ
121,0.25,1.0,0.7167,0.4400921658986175,0.003722664492614617,0.3215259859933653,0.22878827711545716,0.46545000000000003,0.6808,0.6453,1,AZ
122,0.25,0.0,0.7167,0.4400921658986175,0.06124712257816996,0.3002211573903428,0.20775658097774527,0.46545000000000003,0.2366,0.2559,0,AZ
123,0.25,1.0,0.7167,0.4400921658986175,0.00023379052369077306,0.3215259859933653,0.20767656909026483,0.46545000000000003,0.6167,0.4667,4,AZ
124,0.25,1.0,0.7167,0.4400921658986175,0.0003836562440053712,0.3215259859933653,0.05089899070719078,0.46545000000000003,0.1957,0.587,4,AZ
125,0.5,0.0,0.7167,0.4400921658986175,0.04608071168233263,0.33892370070033173,0.20775658097774527,0.46545000000000003,0.171,0.2196,0,AZ
126,0.5,0.0,0.7167,0.4400921658986175,0.02385862267408402,0.2904165130851456,0.20775658097774527,0.46545000000000003,0.2666,0.5049,0,AZ
127,0.75,0.5,0.6076,0.43663594470046085,0.002943362746978707,0.3215259859933653,0.25615234263376274,0.4737,0.5183,0.328,2,AZ
128,0.25,1.0,0.7167,0.4400921658986175,0.0017024745827738347,0.3215259859933653,0.21199721101420782,0.46545000000000003,0.473,0.5714,4,AZ
129,0.5,1.0,0.7167,0.4400921658986175,0.014009447535008632,0.3215259859933653,0.244173420050979,0.46545000000000003,0.6294,0.4808,1,AZ
130,0.75,1.0,0.7167,0.4400921658986175,0.008206646844427392,0.3215259859933653,0.22966840787774184,0.1883,0.3922,0.3861,4,AZ
131,0.25,1.0,0.7167,0.4400921658986175,0.0010310761557644351,0.3215259859933653,0.14759907186210522,0.46545000000000003,0.7555,0.8056,1,AZ
132,0.25,0.0,0.7167,0.4400921658986175,0.036399386150009594,0.3016955399926281,0.20775658097774527,0.46545000000000003,0.1244,0.3145,0,AZ
133,0.75,0.0,0.5274,0.4735023041474654,0.050978323422213694,0.3692591227423516,0.20775658097774527,0.2438,0.4818,0.4027,3,AR
134,0.75,0.0,0.7167,0.4400921658986175,0.004525944753500863,0.3215259859933653,0.20775658097774527,0.46545000000000003,0.6322,0.363,3,AR
135,0.25,1.0,0.7167,0.4400921658986175,0.0001918281220026856,0.3215259859933653,0.055322505057894315,0.46545000000000003,0.9474,0.9605,1,AR
136,0.75,0.5,0.7167,0.4400921658986175,0.006126510646460771,0.3215259859933653,0.194360304959594,0.1588,0.817,0.7107,2,AR
137,0.25,1.0,0.7167,0.4400921658986175,0.00022180126606560522,0.3215259859933653,0.1152628390503732,0.46545000000000003,1.0,1.0,1,AR
138,0.25,1.0,0.7167,0.4400921658986175,0.00027575292537886055,0.3215259859933653,0.10982203070170425,0.46545000000000003,0.9231,0.9231,1,AR
139,0.75,0.5,0.5898,0.5483870967741935,0.003416938423172837,0.3215259859933653,0.14021511767462594,0.4965,0.6867,0.4617,2,AR
140,0.25,1.0,0.7167,0.4400921658986175,0.000803280260886246,0.3215259859933653,0.18358156068901665,0.46545000000000003,0.6798,0.6629,1,AR
141,0.25,1.0,0.7167,0.4400921658986175,0.00029973144062919624,0.3215259859933653,0.09868894807228502,0.46545000000000003,0.6056,0.7746,1,AR
142,0.75,0.0,0.5858,0.5645161290322581,0.12454440821024362,0.4346479911537044,0.20775658097774527,0.601,0.4084,0.2427,3,AR
143,0.75,0.0,0.277,0.20276497695852536,0.015004555917897565,0.2810910431256911,0.20775658097774527,0.2583,0.7276,0.6986,3,AR
144,0.25,0.0,0.7167,0.4400921658986175,0.019284720890082485,0.21260597124953926,0.20775658097774527,0.46545000000000003,0.1337,0.3155,0,AR
145,0.75,0.0,0.7551,0.4861751152073733,0.0558999136773451,0.34670106892738667,0.20775658097774527,0.3698,0.5289,0.4618,3,AR
146,0.75,0.0,0.8503,0.39400921658986177,0.052357088049108,0.3339107998525617,0.20775658097774527,0.4025,0.4734,0.4559,3,AR
147,0.25,0.0,0.7167,0.4400921658986175,0.018127757529253788,0.35971249539255434,0.20775658097774527,0.2804,0.5956,0.6473,3,AR
148,0.25,1.0,0.7167,0.4400921658986175,0.0003836562440053712,0.3215259859933653,0.12416701909998057,0.46545000000000003,0.679,0.679,1,AR
149,0.25,0.5,0.8615,0.35023041474654376,0.005503069249952043,0.3215259859933653,0.17322573639512157,0.46545000000000003,0.8846,0.5978,1,AR
150,0.25,0.0,0.7167,0.4400921658986175,0.011353826971033954,0.19948396608920016,0.20775658097774527,0.46545000000000003,0.4177,0.6406,0,AR
151,0.75,0.0,0.8997,0.46543778801843316,0.055516257433339725,0.3547364541098415,0.20775658097774527,0.4203,0.492,0.3937,3,AR
152,0.75,0.5,0.5407,0.3548387096774194,0.004609869556877038,0.3215259859933653,0.13094516899653663,0.3874,0.5745,0.4531,2,AR
153,0.25,0.0,0.7167,0.4400921658986175,0.006767935929407251,0.1898267600442315,0.20775658097774527,0.46545000000000003,0.0,0.3819,0,AR
154,0.5,0.5,0.7167,0.4400921658986175,0.0009171782083253405,0.3215259859933653,0.11554859579137472,0.2931,0.5524,0.4429,2,AR
155,0.25,0.0,0.7167,0.4400921658986175,0.0017144638403990024,0.12436417250276446,0.20775658097774527,0.46545000000000003,0.0,0.7814,0,AR
156,0.25,0.0,0.7167,0.4400921658986175,0.005527047765202379,0.1099152230003686,0.20775658097774527,0.46545000000000003,0.0628,0.416,0,AR
157,0.25,1.0,0.7167,0.4400921658986175,0.0018103779014003454,0.3215259859933653,0.14147244733503264,0.46545000000000003,0.9182,0.8886,1,AR
158,0.25,1.0,0.7167,0.4400921658986175,0.002889411087665452,0.3215259859933653,0.19481751574519643,0.46545000000000003,0.6721,0.5097,4,AR
159,0.5,0.0,0.7167,0.4400921658986175,0.014656867446767696,0.3178031699225949,0.20775658097774527,0.46545000000000003,0.3935,0.6033,3,AR
160,0.25,0.0,0.7167,0.4400921658986175,0.006534145405716478,0.09705123479542942,0.20775658097774527,0.46545000000000003,0.49,0.6327,0,AR
161,0.75,0.5,0.7628,0.5449308755760369,0.026544216382121618,0.3215259859933653,0.26805125332906604,0.6219,0.5573,0.2631,2,AR
162,0.75,0.0,0.6221,0.39746543778801846,0.019122865912142722,0.29413932915591595,0.20775658097774527,0.2854,0.5985,0.5296,3,AR
163,0.75,0.5,0.8039,0.6923963133640553,0.008560329944369845,0.3215259859933653,0.2531576119880668,0.6959,0.4487,0.1792,2,AR
164,0.25,1.0,0.7167,0.4400921658986175,0.0002577690389411088,0.3215259859933653,0.09894041400436636,0.46545000000000003,0.2877,0.5616,4,AR
165,0.25,0.5,0.7167,0.4400921658986175,0.0004555917897563783,0.3215259859933653,0.20775658097774527,0.46545000000000003,0.6134,0.6471,1,AR
166,0.75,0.5,0.6982,0.5506912442396313,0.010610492998273546,0.3215259859933653,0.19965251980294216,0.6537,0.5333,0.3184,2,AR
167,0.25,1.0,0.7167,0.4400921658986175,0.00016185497793976596,0.3215259859933653,0.13642026815412575,0.46545000000000003,0.4865,0.6486,4,AR
168,0.25,1.0,0.7167,0.4400921658986175,0.0021820448877805485,0.3215259859933653,0.16923657229074035,0.46545000000000003,0.5332,0.4813,4,AR
169,0.25,1.0,0.7167,0.4400921658986175,8.991943218875887e-05,0.3215259859933653,0.07087910203801707,0.46545000000000003,0.0,0.9583,4,AR
170,0.25,1.0,0.7167,0.4400921658986175,0.00044959716094379436,0.3215259859933653,0.17846079989026942,0.46545000000000003,0.619,0.6746,1,AR
171,0.25,0.0,0.7167,0.4400921658986175,0.007571216190293497,0.37187615186140804,0.20775658097774527,0.46545000000000003,0.0,0.5818,0,AR
172,0.25,0.0,0.7167,0.4400921658986175,0.006839871475158258,0.24419461850350166,0.20775658097774527,0.46545000000000003,0.0,0.5018,0,AR
173,0.25,1.0,0.7167,0.4400921658986175,0.00038965087281795513,0.3215259859933653,0.1234583423822968,0.46545000000000003,0.5854,0.9634,1,AR
174,0.25,1.0,0.7167,0.4400921658986175,0.00047357567619413005,0.3215259859933653,0.14399853692548606,0.46545000000000003,0.3978,0.6129,4,AR
175,0.25,0.0,0.7167,0.4400921658986175,0.011299875311720699,0.1483597493549576,0.20775658097774527,0.46545000000000003,0.2661,0.6147,0,AR
176,0.25,0.0,0.7167,0.4400921658986175,0.0015106464607711491,0.2583118319203833,0.20775658097774527,0.46545000000000003,0.0,0.2137,0,AR
177,0.75,0.5,0.7011,0.48847926267281105,0.009069873393439478,0.3215259859933653,0.1867820361882337,0.6022,0.5033,0.2702,2,AR
178,0.25,0.0,0.7167,0.4400921658986175,0.004897611739881067,0.3202727607814228,0.20775658097774527,0.46545000000000003,0.199,0.3697,0,AR
179,0.25,0.0,0.7167,0.4400921658986175,0.0073494149242278916,0.21990416513085145,0.20775658097774527,0.46545000000000003,0.4618,0.7091,0,AR
180,0.75,0.5,0.6136,0.4504608294930876,0.0034049491655476693,0.3215259859933653,0.17510030061609153,0.4831,0.4826,0.3906,2,AR
181,0.5,0.0,0.5838,0.30414746543778803,0.012450844043736812,0.24699594544784373,0.20775658097774527,0.46545000000000003,0.4113,0.672,3,AR
182,0.75,0.5,0.7167,0.4400921658986175,0.0033210243621714943,0.3215259859933653,0.21655788860059208,0.4462,0.8784,0.7282,2,AR
183,0.5,0.0,0.7167,0.4400921658986175,0.00591070400920775,0.396940656100258,0.20775658097774527,0.46545000000000003,0.0354,0.396,0,AR
184,0.25,0.0,0.7167,0.4400921658986175,0.008482399769806253,0.19034279395503134,0.20775658097774527,0.46545000000000003,0.7236,0.5864,3,AR
