,STABBR,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,labels
4252,PR,3,2,0.7167,1048.0,199.0,8792.0,7026.0,1.0,0.2151,0.7558,1
4253,PR,2,1,0.9762,1048.0,1387.0,2718.0,18259.0,0.4027,0.0,0.7892,3
4254,PR,3,2,0.7167,1048.0,11503.0,8792.0,9147.0,0.2491,0.4133,0.8443,1
4255,PR,3,1,0.6742,1048.0,424.0,7154.0,18259.0,0.7,0.1936,0.6446,3
4256,PR,4,2,0.7167,1048.0,432.5,8792.0,18259.0,0.46545000000000003,0.5926,0.5165,1
4257,PR,2,2,0.9845,1048.0,1195.0,8792.0,8117.0,0.285,0.3231,0.8341,3
4258,PR,1,3,0.7167,1048.0,397.0,8792.0,5701.0,0.46545000000000003,0.0,0.832,4
4259,PR,3,1,0.7154,1048.0,529.0,2428.0,18259.0,0.4127,0.0,0.7648,3
4260,PR,2,1,0.8605,1048.0,755.0,3526.0,18259.0,0.46545000000000003,0.0,0.7577,3
4261,PR,2,3,0.7167,1048.0,1255.0,8792.0,5292.0,0.46545000000000003,0.0215,0.9235,4
4262,PR,2,2,0.7167,1048.0,705.0,8792.0,8386.0,0.6598,0.0,0.9423,3
