,STABBR,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,labels
0,AL,3,1,0.8989,823.0,4051.0,13415.0,18259.0,0.2914,0.8204,0.7115,0
1,AL,3,1,0.8673,1146.0,11200.0,14805.0,18259.0,0.5377,0.5397,0.3505,0
2,AL,3,2,0.7167,1048.0,322.0,8792.0,7455.0,0.6667,0.7629,0.6839,1
3,AL,3,1,0.8062,1180.0,5525.0,17520.0,18259.0,0.4835,0.4728,0.3281,0
4,AL,3,1,0.5125,830.0,5354.0,11936.0,18259.0,0.2517,0.8735,0.8265,0
5,AL,3,1,0.5655,1171.0,28692.0,20916.0,18259.0,0.6665,0.4148,0.2107,0
6,AL,2,1,0.7167,1048.0,1779.0,6407.0,18259.0,0.46545000000000003,0.4777,0.6515,0
7,AL,3,1,0.7167,1048.0,2999.0,8792.0,18259.0,0.46545000000000003,0.6277,0.4107,0
8,AL,3,1,0.8371,970.0,4322.0,11915.0,18259.0,0.2705,0.6476,0.4006,0
9,AL,3,1,0.8274,1215.0,19761.0,17541.0,18259.0,0.6792,0.361,0.1687,0
10,AL,3,2,0.6422,1177.0,1181.0,8792.0,22994.0,0.6192,0.4939,0.2136,1
11,AL,2,1,0.7167,1048.0,1769.0,1873.0,18259.0,0.46545000000000003,0.1948,0.6116,3
12,AL,3,2,0.7167,1048.0,523.0,8792.0,12686.0,0.2115,0.91,0.8363,1
13,AL,2,3,0.4829,1048.0,599.0,8792.0,23152.0,0.0784,0.7543,0.7131,2
14,AL,2,1,0.7167,1048.0,1984.0,5048.0,18259.0,0.46545000000000003,0.2673,0.5121,3
15,AL,2,1,0.7167,1048.0,4182.0,7404.0,18259.0,0.46545000000000003,0.4042,0.4885,0
16,AL,3,2,0.7167,1048.0,2358.0,8792.0,17660.0,0.2287,0.7427,0.5816,1
17,AL,2,1,0.7167,1048.0,5480.0,4565.0,18259.0,0.46545000000000003,0.0,0.6,3
18,AL,1,3,0.7167,1048.0,89.0,8792.0,9476.0,0.46545000000000003,0.4422,0.4898,4
19,AL,2,1,0.7167,1048.0,4293.0,2681.0,18259.0,0.46545000000000003,0.0,0.5548,3
20,AL,2,1,0.7167,1048.0,4904.0,6628.0,18259.0,0.46545000000000003,0.4174,0.5017,0
21,AL,2,1,0.7167,1048.0,1604.0,8712.0,18259.0,0.46545000000000003,0.0,0.7687,3
22,AL,1,3,0.749,1048.0,318.0,8792.0,22518.0,0.1778,0.7153,0.6373,2
23,AL,3,2,0.6279,999.0,1100.0,8792.0,17864.0,0.4319,0.7227,0.4302,1
24,AL,3,2,0.7167,1048.0,67.0,8792.0,9346.0,0.0,0.4839,0.4839,1
25,AL,1,1,0.7167,1048.0,1040.0,7163.0,18259.0,0.46545000000000003,0.0,0.5873,3
26,AL,3,1,0.8326,1036.0,7195.0,16078.0,18259.0,0.3083,0.6811,0.4613,0
27,AL,2,1,0.7167,1048.0,1037.0,3796.0,18259.0,0.46545000000000003,0.0,0.5283,3
28,AL,2,1,0.7167,1048.0,7494.0,8799.0,18259.0,0.46545000000000003,0.2323,0.3579,3
29,AL,2,1,0.7167,1048.0,9970.0,5278.0,18259.0,0.46545000000000003,0.2773,0.4032,3
30,AL,3,2,0.7388,1023.0,331.0,8792.0,17243.0,0.4051,0.711,0.4788,1
31,AL,1,1,0.7167,1048.0,2894.0,7406.0,18259.0,0.46545000000000003,0.0,0.6821,3
32,AL,3,1,0.9957,950.0,1988.0,13221.0,18259.0,0.3161,0.7193,0.5604,0
33,AL,1,1,0.7167,1048.0,1372.0,8041.0,18259.0,0.46545000000000003,0.0,0.5753,3
34,AL,2,1,0.6034,1040.0,411.0,11013.0,18259.0,0.46545000000000003,0.6257,0.4424,0
35,AL,3,2,0.7167,1048.0,1663.0,8792.0,15217.0,0.216,0.9184,0.8227,1
36,AL,3,2,0.7125,1058.0,1472.0,8792.0,17970.0,0.4904,0.8009,0.5032,1
37,AL,3,1,0.8729,1070.0,2610.0,15003.0,18259.0,0.4493,0.5872,0.4136,0
38,AL,2,1,0.7167,1048.0,3235.0,4678.0,18259.0,0.46545000000000003,0.2559,0.5233,3
39,AL,3,1,0.8092,1028.0,5536.0,11476.0,18259.0,0.3216,0.6883,0.4192,0
40,AL,2,1,0.7167,1048.0,2376.0,2544.0,18259.0,0.46545000000000003,0.0,0.628,3
41,AL,3,2,0.3435,924.0,1854.0,8792.0,26954.0,0.3632,0.7411,0.5066,1
42,AL,2,1,0.7167,1048.0,1218.0,4998.0,18259.0,0.46545000000000003,0.0,0.5602,3
43,AL,2,3,0.7167,1048.0,102.0,8792.0,20904.0,0.46545000000000003,0.8678,0.6446,2
44,AL,1,1,0.7167,1048.0,414.0,4912.0,18259.0,0.46545000000000003,0.0,0.701,3
45,AL,2,1,0.7167,1048.0,3363.0,5145.0,18259.0,0.46545000000000003,0.0,0.6352,3
46,AL,3,2,0.7697,1153.0,2995.0,8792.0,24093.0,0.692,0.3653,0.1494,1
47,AL,3,2,0.7167,1048.0,447.0,8792.0,8427.0,0.2133,0.7679,0.75,1
48,AL,2,1,0.7167,1048.0,4859.0,8587.0,18259.0,0.46545000000000003,0.0,0.5217,3
49,AL,2,1,0.7167,1048.0,2161.0,3884.0,18259.0,0.46545000000000003,0.2344,0.5743,3
50,AL,3,1,0.8604,1064.0,11048.0,13027.0,18259.0,0.3342,0.5549,0.3743,0
51,AL,3,2,0.4627,1100.0,1269.0,8792.0,18555.0,0.5632,0.6564,0.3328,1
52,AL,3,2,0.9615,970.0,160.0,8792.0,12954.0,0.1935,0.7877,0.6089,1
53,AL,3,2,0.43,882.0,863.0,8792.0,17473.0,0.2619,0.8145,0.7429,1
54,AL,3,2,0.7167,1048.0,894.0,8792.0,9062.0,0.824,0.928,0.9663,1
55,AL,1,1,0.7167,1048.0,1262.0,6067.0,18259.0,0.46545000000000003,0.0,0.6097,3
56,AL,3,1,0.6821,990.0,16208.0,11168.0,18259.0,0.3466,0.6414,0.4758,0
57,AL,3,2,0.3511,937.0,2584.0,8792.0,28909.0,0.4384,0.7374,0.6453,1
58,AL,3,2,0.7167,1048.0,80.0,8792.0,18259.0,0.46545000000000003,0.6068,0.4701,1
59,AL,2,1,0.7167,1048.0,3212.0,8303.0,18259.0,0.46545000000000003,0.0,0.5844,3
60,AK,3,1,0.7167,1048.0,13116.0,8160.0,18259.0,0.2547,0.286,0.2473,0
61,AK,1,2,0.7167,1048.0,26.0,8792.0,9592.0,0.46545000000000003,0.2,0.2182,3
62,AK,3,1,0.7167,1048.0,5729.0,9372.0,18259.0,0.309,0.2676,0.2349,0
63,AK,3,1,0.7167,1048.0,1488.0,9462.0,18259.0,0.1389,0.209,0.1834,3
64,AK,3,2,0.3745,1008.0,340.0,8792.0,30891.0,0.3902,0.4587,0.2791,1
65,AK,1,1,0.4888,1048.0,1347.0,8792.0,18259.0,0.46545000000000003,0.1447,0.1163,3
66,AK,1,3,0.7167,1048.0,2191.0,8792.0,17691.0,0.3534,0.4152,0.6598,4
67,AK,2,1,0.7167,1048.0,134.0,8775.0,18259.0,0.46545000000000003,0.2015,0.2092,3
68,AK,1,3,0.7167,1048.0,335.0,8792.0,14170.0,0.46545000000000003,0.7894,0.6181,2
69,AZ,2,3,0.7167,1048.0,2761.0,8792.0,20126.0,0.3175,0.7408,0.8264,2
70,AZ,3,3,0.7167,1048.0,254.0,8792.0,18259.0,0.3773,0.9203,0.7475,2
71,AZ,1,3,0.7167,1048.0,43.0,8792.0,12328.0,0.46545000000000003,0.6598,0.6598,2
72,AZ,1,3,0.7167,1048.0,175.0,8792.0,13660.0,0.46545000000000003,0.7386,0.7843,2
73,AZ,1,2,0.7167,1048.0,2.0,8792.0,18259.0,0.46545000000000003,0.0,0.0,3
74,AZ,3,2,0.7167,1048.0,77.0,8792.0,12580.0,0.5,0.6986,0.7945,1
75,AZ,1,3,0.7167,1048.0,278.0,8792.0,19019.0,0.46545000000000003,0.7451,0.4933,2
76,AZ,1,3,1.0,1048.0,676.0,8792.0,20501.0,0.6443,0.6062,0.7255,2
77,AZ,1,3,1.0,1048.0,691.0,8792.0,22169.0,0.46545000000000003,0.5289,0.7296,2
78,AZ,1,3,1.0,1048.0,440.0,8792.0,21229.0,0.46545000000000003,0.5356,0.6507,4
79,AZ,2,2,0.7167,1048.0,209.0,8792.0,20877.0,0.4667,0.9569,0.8431,2
80,AZ,1,3,0.7167,1048.0,47.0,8792.0,12938.0,0.46545000000000003,0.475,0.575,4
81,AZ,1,3,0.7167,1048.0,505.0,8792.0,28404.0,0.46545000000000003,0.7971,0.7742,2
82,AZ,1,3,0.7167,1048.0,828.0,8792.0,25566.0,0.4664,0.6346,0.6609,2
83,AZ,3,1,0.7626,1108.0,38480.0,11480.0,18259.0,0.5947,0.4784,0.3376,0
84,AZ,1,1,0.7167,1048.0,7442.0,9095.0,18259.0,0.46545000000000003,0.0554,0.5803,3
85,AZ,3,1,0.7692,1106.0,31399.0,13617.0,18259.0,0.6139,0.3962,0.3265,0
86,AZ,3,3,0.7167,1048.0,216.0,8792.0,46298.0,0.8333,0.6777,0.5308,1
87,AZ,1,3,0.7167,1048.0,226.0,8792.0,13635.0,0.46545000000000003,0.633,0.5724,4
88,AZ,2,1,0.7167,1048.0,5462.0,4310.0,18259.0,0.46545000000000003,0.1783,0.4644,3
89,AZ,2,3,0.7167,1048.0,684.0,8792.0,19957.0,0.1622,0.7398,0.8355,2
90,AZ,1,3,0.7167,1048.0,83.0,8792.0,10819.0,0.46545000000000003,0.5828,0.6291,4
91,AZ,2,1,0.7167,1048.0,3787.0,5017.0,18259.0,0.46545000000000003,0.0706,0.308,3
92,AZ,1,3,0.7167,1048.0,53.0,8792.0,12798.0,0.46545000000000003,0.6947,0.7474,2
93,AZ,1,3,0.7167,1048.0,113.0,8792.0,12513.0,0.46545000000000003,0.6753,0.7113,2
94,AZ,1,3,0.7167,1048.0,143.0,8792.0,19534.0,0.46545000000000003,0.8816,0.7105,2
95,AZ,1,3,0.7167,1048.0,273.0,8792.0,11591.0,0.46545000000000003,0.7927,0.7927,2
96,AZ,1,1,0.7167,1048.0,4812.0,534.0,18259.0,0.46545000000000003,0.0,0.1975,3
97,AZ,3,2,0.7814,1126.0,1802.0,8792.0,35470.0,0.5915,0.5596,0.2884,1
98,AZ,3,2,0.7167,1048.0,2.0,8792.0,18259.0,0.46545000000000003,0.3333,0.3333,1
99,AZ,1,1,0.7167,1048.0,16623.0,7763.0,18259.0,0.46545000000000003,0.1951,0.3814,3
100,AZ,3,3,0.548,1048.0,34643.0,8792.0,28309.0,0.3036,0.6248,0.5262,2
101,AZ,2,3,0.7167,1048.0,2238.0,8792.0,28541.0,0.7996,0.8631,0.7791,2
102,AZ,1,3,0.7167,1048.0,210.0,8792.0,15463.0,0.46545000000000003,0.7656,0.7182,2
103,AZ,1,3,0.7167,1048.0,93.0,8792.0,17360.0,0.46545000000000003,0.5452,0.5151,4
104,AZ,1,1,0.7167,1048.0,5653.0,8106.0,18259.0,0.46545000000000003,0.242,0.3374,3
105,AZ,1,1,0.7167,1048.0,20120.0,8868.0,18259.0,0.46545000000000003,0.2546,0.3726,3
106,AZ,2,3,0.8388,1048.0,409.0,8792.0,22313.0,0.2182,0.7674,0.7304,2
107,AZ,2,3,0.8388,1048.0,498.0,8792.0,22617.0,0.25,0.7983,0.68,2
108,AZ,1,1,0.7167,1048.0,4759.0,11346.0,18259.0,0.46545000000000003,0.2421,0.4772,3
109,AZ,1,3,0.7167,1048.0,2049.0,8792.0,19523.0,0.46545000000000003,0.6593,0.4818,4
110,AZ,2,1,0.7167,1048.0,1402.0,8382.0,18259.0,0.0205,0.0,0.8223,3
111,AZ,3,1,0.9137,1050.0,22011.0,15011.0,18259.0,0.4924,0.5571,0.3778,0
112,AZ,1,1,0.7167,1048.0,1641.0,9172.0,18259.0,0.46545000000000003,0.0,0.2942,3
113,AZ,3,2,0.9888,1020.0,335.0,8792.0,18259.0,0.46545000000000003,0.7946,0.5982,1
114,AZ,1,1,0.7167,1048.0,10234.0,8091.0,18259.0,0.46545000000000003,0.2878,0.4733,3
115,AZ,1,3,0.7167,1048.0,87.0,8792.0,15318.0,0.46545000000000003,0.8079,0.5497,2
116,AZ,3,3,0.7167,1048.0,3044.0,8792.0,18899.0,0.1568,0.6171,0.5242,2
117,AZ,1,1,0.7167,1048.0,26600.0,2759.0,18259.0,0.46545000000000003,0.1599,0.3268,3
118,AZ,1,3,0.7167,1048.0,1726.0,8792.0,16972.0,0.6189,0.6147,0.4898,4
119,NM,1,3,0.7167,1048.0,930.0,8792.0,15231.0,0.46545000000000003,0.7193,0.6183,2
120,AZ,3,2,0.7293,1094.0,540.0,8792.0,23432.0,0.3768,0.6478,0.4547,1
121,AZ,1,3,0.7167,1048.0,621.0,8792.0,20099.0,0.46545000000000003,0.6808,0.6453,2
122,AZ,1,1,0.7167,1048.0,10217.0,8214.0,18259.0,0.46545000000000003,0.2366,0.2559,3
123,AZ,1,3,0.7167,1048.0,39.0,8792.0,18252.0,0.46545000000000003,0.6167,0.4667,4
124,AZ,1,3,0.7167,1048.0,64.0,8792.0,4536.0,0.46545000000000003,0.1957,0.587,4
125,AZ,2,1,0.7167,1048.0,7687.0,9264.0,18259.0,0.46545000000000003,0.171,0.2196,3
126,AZ,2,1,0.7167,1048.0,3980.0,7948.0,18259.0,0.46545000000000003,0.2666,0.5049,3
127,AZ,3,2,0.6076,1045.0,491.0,8792.0,22493.0,0.4737,0.5183,0.328,1
128,AZ,1,3,0.7167,1048.0,284.0,8792.0,18630.0,0.46545000000000003,0.473,0.5714,4
129,AZ,2,3,0.7167,1048.0,2337.0,8792.0,21445.0,0.46545000000000003,0.6294,0.4808,2
130,AZ,3,3,0.7167,1048.0,1369.0,8792.0,20176.0,0.1883,0.3922,0.3861,4
131,AZ,1,3,0.7167,1048.0,172.0,8792.0,12996.0,0.46545000000000003,0.7555,0.8056,2
132,AZ,1,1,0.7167,1048.0,6072.0,8254.0,18259.0,0.46545000000000003,0.1244,0.3145,3
133,AR,3,1,0.5274,1077.0,8504.0,10087.0,18259.0,0.2438,0.4818,0.4027,0
134,AR,3,1,0.7167,1048.0,755.0,8792.0,18259.0,0.46545000000000003,0.6322,0.363,0
135,AR,1,3,0.7167,1048.0,32.0,8792.0,4923.0,0.46545000000000003,0.9474,0.9605,2
136,AR,3,2,0.7167,1048.0,1022.0,8792.0,17087.0,0.1588,0.817,0.7107,1
137,AR,1,3,0.7167,1048.0,37.0,8792.0,10167.0,0.46545000000000003,1.0,1.0,2
138,AR,1,3,0.7167,1048.0,46.0,8792.0,9691.0,0.46545000000000003,0.9231,0.9231,2
139,AR,3,2,0.5898,1142.0,570.0,8792.0,12350.0,0.4965,0.6867,0.4617,1
140,AR,1,3,0.7167,1048.0,134.0,8792.0,16144.0,0.46545000000000003,0.6798,0.6629,2
141,AR,1,3,0.7167,1048.0,50.0,8792.0,8717.0,0.46545000000000003,0.6056,0.7746,2
142,AR,3,1,0.5858,1156.0,20776.0,11861.0,18259.0,0.601,0.4084,0.2427,0
143,AR,3,1,0.277,842.0,2503.0,7695.0,18259.0,0.2583,0.7276,0.6986,0
144,AR,1,1,0.7167,1048.0,3217.0,5837.0,18259.0,0.46545000000000003,0.1337,0.3155,3
145,AR,3,1,0.7551,1088.0,9325.0,9475.0,18259.0,0.3698,0.5289,0.4618,0
146,AR,3,1,0.8503,1008.0,8734.0,9128.0,18259.0,0.4025,0.4734,0.4559,0
147,AR,1,1,0.7167,1048.0,3024.0,9828.0,18259.0,0.2804,0.5956,0.6473,0
148,AR,1,3,0.7167,1048.0,64.0,8792.0,10946.0,0.46545000000000003,0.679,0.679,2
149,AR,1,2,0.8615,970.0,918.0,8792.0,15238.0,0.46545000000000003,0.8846,0.5978,2
150,AR,1,1,0.7167,1048.0,1894.0,5481.0,18259.0,0.46545000000000003,0.4177,0.6406,3
151,AR,3,1,0.8997,1070.0,9261.0,9693.0,18259.0,0.4203,0.492,0.3937,0
152,AR,3,2,0.5407,974.0,769.0,8792.0,11539.0,0.3874,0.5745,0.4531,1
153,AR,1,1,0.7167,1048.0,1129.0,5219.0,18259.0,0.46545000000000003,0.0,0.3819,3
154,AR,2,2,0.7167,1048.0,153.0,8792.0,10192.0,0.2931,0.5524,0.4429,1
155,AR,1,1,0.7167,1048.0,286.0,3443.0,18259.0,0.46545000000000003,0.0,0.7814,3
156,AR,1,1,0.7167,1048.0,922.0,3051.0,18259.0,0.46545000000000003,0.0628,0.416,3
157,AR,1,3,0.7167,1048.0,302.0,8792.0,12460.0,0.46545000000000003,0.9182,0.8886,2
158,AR,1,3,0.7167,1048.0,482.0,8792.0,17127.0,0.46545000000000003,0.6721,0.5097,2
159,AR,2,1,0.7167,1048.0,2445.0,8691.0,18259.0,0.46545000000000003,0.3935,0.6033,0
160,AR,1,1,0.7167,1048.0,1090.0,2702.0,18259.0,0.46545000000000003,0.49,0.6327,3
161,AR,3,2,0.7628,1139.0,4428.0,8792.0,23534.0,0.6219,0.5573,0.2631,1
162,AR,3,1,0.6221,1011.0,3190.0,8049.0,18259.0,0.2854,0.5985,0.5296,0
163,AR,3,2,0.8039,1267.0,1428.0,8792.0,22231.0,0.6959,0.4487,0.1792,1
164,AR,1,3,0.7167,1048.0,43.0,8792.0,8739.0,0.46545000000000003,0.2877,0.5616,4
165,AR,1,2,0.7167,1048.0,76.0,8792.0,18259.0,0.46545000000000003,0.6134,0.6471,2
166,AR,3,2,0.6982,1144.0,1770.0,8792.0,17550.0,0.6537,0.5333,0.3184,1
167,AR,1,3,0.7167,1048.0,27.0,8792.0,12018.0,0.46545000000000003,0.4865,0.6486,4
168,AR,1,3,0.7167,1048.0,364.0,8792.0,14889.0,0.46545000000000003,0.5332,0.4813,4
169,AR,1,3,0.7167,1048.0,15.0,8792.0,6284.0,0.46545000000000003,0.0,0.9583,4
170,AR,1,3,0.7167,1048.0,75.0,8792.0,15696.0,0.46545000000000003,0.619,0.6746,2
171,AR,1,1,0.7167,1048.0,1263.0,10158.0,18259.0,0.46545000000000003,0.0,0.5818,3
172,AR,1,1,0.7167,1048.0,1141.0,6694.0,18259.0,0.46545000000000003,0.0,0.5018,3
173,AR,1,3,0.7167,1048.0,65.0,8792.0,10884.0,0.46545000000000003,0.5854,0.9634,2
174,AR,1,3,0.7167,1048.0,79.0,8792.0,12681.0,0.46545000000000003,0.3978,0.6129,4
175,AR,1,1,0.7167,1048.0,1885.0,4094.0,18259.0,0.46545000000000003,0.2661,0.6147,3
176,AR,1,1,0.7167,1048.0,252.0,7077.0,18259.0,0.46545000000000003,0.0,0.2137,3
177,AR,3,2,0.7011,1090.0,1513.0,8792.0,16424.0,0.6022,0.5033,0.2702,1
178,AR,1,1,0.7167,1048.0,817.0,8758.0,18259.0,0.46545000000000003,0.199,0.3697,3
179,AR,1,1,0.7167,1048.0,1226.0,6035.0,18259.0,0.46545000000000003,0.4618,0.7091,3
180,AR,3,2,0.6136,1057.0,568.0,8792.0,15402.0,0.4831,0.4826,0.3906,1
181,AR,2,1,0.5838,930.0,2077.0,6770.0,18259.0,0.46545000000000003,0.4113,0.672,0
182,AR,3,2,0.7167,1048.0,554.0,8792.0,19029.0,0.4462,0.8784,0.7282,1
183,AR,2,1,0.7167,1048.0,986.0,10838.0,18259.0,0.46545000000000003,0.0354,0.396,3
184,AR,1,1,0.7167,1048.0,1415.0,5233.0,18259.0,0.46545000000000003,0.7236,0.5864,0
185,AR,1,3,0.7167,1048.0,50.0,8792.0,7502.0,0.46545000000000003,0.8462,0.7077,2
186,AR,2,1,0.7167,1048.0,9480.0,13349.0,18259.0,0.46545000000000003,0.6226,0.5737,0
187,AR,1,1,0.7167,1048.0,1157.0,8562.0,18259.0,0.46545000000000003,0.0368,0.619,3
188,AR,1,1,0.7167,1048.0,553.0,4538.0,18259.0,0.46545000000000003,0.0,0.3892,3
189,AR,1,3,0.7167,1048.0,96.0,8792.0,20396.0,0.46545000000000003,0.6419,0.4392,4
190,AR,1,3,0.7167,1048.0,104.0,8792.0,15138.0,0.46545000000000003,0.4924,0.4621,4
191,AR,2,2,0.7167,1048.0,330.0,8792.0,4883.0,0.46545000000000003,0.7115,0.75,1
192,AR,3,2,0.6798,1001.0,501.0,8792.0,11326.0,0.3985,0.6307,0.5265,1
193,AR,1,1,0.7167,1048.0,1306.0,12545.0,18259.0,0.46545000000000003,0.4018,0.51,0
194,AR,3,1,0.6081,989.0,2640.0,7543.0,18259.0,0.2973,0.5054,0.5152,0
195,AR,1,1,0.7167,1048.0,894.0,10119.0,18259.0,0.46545000000000003,0.2262,0.322,3
196,AR,1,3,0.7167,1048.0,25.0,8792.0,959.0,0.46545000000000003,0.0,0.52,4
197,AR,3,1,0.5736,1028.0,6508.0,6727.0,18259.0,0.2291,0.4018,0.5053,0
198,CA,3,3,0.7167,1048.0,10300.0,8792.0,30100.0,0.3188,0.5957,0.4242,1
199,CA,2,3,0.8388,1048.0,510.0,8792.0,23022.0,0.4167,0.7816,0.662,2
200,CA,4,2,0.7167,1048.0,432.5,8792.0,18259.0,0.46545000000000003,0.5926,0.5165,1
201,CA,1,3,0.7167,1048.0,44.0,8792.0,20059.0,0.46545000000000003,0.8987,0.8228,2
202,CA,1,3,0.7167,1048.0,186.0,8792.0,12608.0,0.46545000000000003,0.809,0.7865,2
203,CA,2,1,0.7167,1048.0,5147.0,3873.0,18259.0,0.46545000000000003,0.0111,0.2203,3
204,CA,2,1,0.7167,1048.0,9692.0,4896.0,18259.0,0.46545000000000003,0.0227,0.2424,3
205,CA,2,2,0.2837,1048.0,258.0,8792.0,41436.0,0.46545000000000003,0.5701,0.4163,1
208,CA,1,3,0.7167,1048.0,45.0,8792.0,11962.0,0.46545000000000003,0.6516,0.8258,2
209,CA,1,3,0.7167,1048.0,1770.0,8792.0,25881.0,0.46545000000000003,0.534,0.7065,4
210,CA,1,2,0.7167,1048.0,0.0,8792.0,18259.0,0.46545000000000003,0.5926,0.5165,1
211,CA,1,1,0.7167,1048.0,27332.0,6426.0,18259.0,0.46545000000000003,0.0686,0.2858,3
212,CA,1,3,0.7167,1048.0,170.0,8792.0,26407.0,0.46545000000000003,0.4936,0.7023,4
213,CA,2,1,0.7167,1048.0,12416.0,5405.0,18259.0,0.46545000000000003,0.1692,0.5111,3
214,CA,3,2,0.8167,1048.0,1742.0,8792.0,43083.0,0.6436,0.5106,0.3687,1
215,CA,1,3,0.7167,1048.0,404.0,8792.0,18373.0,0.46545000000000003,0.3074,0.6992,4
216,CA,1,3,0.7167,1048.0,110.0,8792.0,20138.0,0.46545000000000003,0.9448,0.9834,2
217,CA,3,2,0.7985,1098.0,6543.0,8792.0,28516.0,0.6486,0.5697,0.2858,1
218,CA,1,1,0.7167,1048.0,15854.0,2898.0,18259.0,0.46545000000000003,0.0401,0.3905,3
219,CA,2,1,0.7167,1048.0,2866.0,9214.0,18259.0,0.46545000000000003,0.0,0.4941,3
220,CA,1,3,0.7167,1048.0,185.0,8792.0,21160.0,0.46545000000000003,0.6246,0.5461,4
221,CA,3,2,0.8321,1048.0,259.0,8792.0,8039.0,0.7826,0.3906,0.75,1
222,CA,3,2,0.7286,1123.0,4324.0,8792.0,32140.0,0.6819,0.7762,0.3103,1
223,CA,3,3,0.98,1048.0,492.0,8792.0,29203.0,0.3654,0.6944,0.4281,2
224,CA,1,3,0.7167,1048.0,45.0,8792.0,20927.0,0.46545000000000003,0.7823,0.795,2
225,CA,2,3,0.7167,1048.0,879.0,8792.0,15578.0,0.0638,0.8403,0.5886,2
226,CA,1,1,0.7167,1048.0,11123.0,5224.0,18259.0,0.46545000000000003,0.1393,0.4933,3
228,CA,3,2,0.7167,1048.0,75.0,8792.0,18259.0,0.46545000000000003,0.828,0.5699,1
229,CA,2,1,0.7167,1048.0,12724.0,6841.0,18259.0,0.46545000000000003,0.0367,0.2477,3
230,CA,3,2,0.788,984.0,5797.0,8792.0,23137.0,0.5808,0.7734,0.4777,1
231,CA,3,2,0.8157,1048.0,1463.0,8792.0,30719.0,0.6183,0.5304,0.3241,1
232,CA,4,1,0.7167,1048.0,432.5,8792.0,18259.0,0.46545000000000003,0.5926,0.5165,0
233,CA,3,2,0.1055,1534.0,977.0,8792.0,25667.0,0.9307,0.2508,0.1063,1
234,CA,3,2,0.4802,1108.0,2882.0,8792.0,28107.0,0.7005,0.556,0.2578,1
235,CA,3,1,0.3123,1242.0,18664.0,17112.0,18259.0,0.6972,0.3482,0.1975,0
236,CA,3,2,0.4922,1048.0,254.0,8792.0,19768.0,0.46545000000000003,0.381,0.3228,1
237,CA,3,1,0.6626,901.0,7226.0,8634.0,18259.0,0.3946,0.4158,0.5843,0
238,CA,3,1,0.7215,917.0,7751.0,7797.0,18259.0,0.5198,0.4286,0.5774,0
239,CA,3,1,0.5831,888.0,15887.0,7619.0,18259.0,0.4112,0.4698,0.5799,0
240,CA,3,1,0.5218,1070.0,20857.0,12135.0,18259.0,0.5237,0.3883,0.4404,0
241,CA,3,1,0.7161,1014.0,15106.0,15184.0,18259.0,0.5605,0.452,0.3893,0
242,CA,3,1,0.5747,845.0,11894.0,3698.0,18259.0,0.2935,0.4291,0.5862,0
243,CA,3,1,0.5815,920.0,19911.0,7093.0,18259.0,0.4859,0.3628,0.5407,0
244,CA,3,1,0.4579,1021.0,33000.0,9034.0,18259.0,0.5347,0.3327,0.4061,0
245,CA,3,1,0.6872,910.0,12079.0,12535.0,18259.0,0.3808,0.3844,0.4426,0
246,CA,3,1,0.3082,1012.0,30440.0,9699.0,18259.0,0.6033,0.393,0.4733,0
247,CA,3,1,0.6752,871.0,19525.0,5431.0,18259.0,0.3565,0.3924,0.6447,0
248,CA,3,1,0.4624,918.0,33581.0,11439.0,18259.0,0.4575,0.3636,0.4848,0
249,CA,3,1,0.6968,945.0,25991.0,10614.0,18259.0,0.4285,0.4153,0.505,0
250,CA,3,1,0.18,1350.0,25951.0,13769.0,18259.0,0.9103,0.3021,0.3237,0
251,CA,3,1,0.4521,1192.0,26483.0,15054.0,18259.0,0.8133,0.4467,0.4297,0
252,CA,3,1,0.4239,1122.0,23517.0,11944.0,18259.0,0.8585,0.4418,0.432,0
253,CA,3,1,0.2199,1289.0,28667.0,13723.0,18259.0,0.9031,0.374,0.3624,0
254,CA,3,1,0.62,1078.0,18612.0,11473.0,18259.0,0.6617,0.5688,0.564,0
255,CA,3,1,0.375,1276.0,23792.0,14421.0,18259.0,0.858,0.4731,0.4274,0
257,CA,3,1,0.4444,1212.0,19362.0,14142.0,18259.0,0.807,0.438,0.3798,0
258,CA,3,1,0.5991,1087.0,15695.0,15107.0,18259.0,0.7267,0.5586,0.4459,0
259,CA,4,2,0.7167,1048.0,20.0,8792.0,18259.0,0.46545000000000003,0.5926,0.5165,1
260,CA,1,3,0.7167,1048.0,114.0,8792.0,12974.0,0.46545000000000003,0.6748,0.6135,2
261,CA,3,2,0.8333,1048.0,30.0,8792.0,11734.0,0.25,0.5429,0.5429,1
262,CA,2,2,0.7167,1048.0,762.0,8792.0,22956.0,0.5845,0.6289,0.7156,1
263,CA,1,3,0.7167,1048.0,489.0,8792.0,18868.0,0.46545000000000003,0.5669,0.4066,4
264,CA,1,3,0.7167,1048.0,219.0,8792.0,15449.0,0.46545000000000003,0.4725,0.4957,4
265,CA,3,2,0.2992,1048.0,987.0,8792.0,42600.0,0.5746,0.6211,0.3337,1
266,CA,3,1,0.748,1080.0,1044.0,16974.0,18259.0,0.5871,0.6043,0.3762,0
268,CA,2,1,0.7167,1048.0,5217.0,2778.0,18259.0,0.46545000000000003,0.0179,0.1566,3
